PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2023;08;01;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;02;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;03;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;04;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;05;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;06;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;07;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V
28;079;4;1;28079004_1_38;2023;08;08;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;09;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;223;N;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;10;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;11;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;12;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;13;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;14;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;15;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;16;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;17;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;18;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;19;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;20;1;V;6;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;21;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V
28;079;4;1;28079004_1_38;2023;08;22;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;23;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;N;42;N;1;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;24;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;26;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;27;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;28;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;29;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;30;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;08;31;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V
28;079;4;6;28079004_6_48;2023;08;01;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V
28;079;4;6;28079004_6_48;2023;08;02;0.7;V;0.4;V;0.3;V;0.4;V;0.3;V;0.4;V;0.3;V;0.4;V;0.6;V;0.4;V;0.4;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;079;4;6;28079004_6_48;2023;08;03;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V
28;079;4;6;28079004_6_48;2023;08;04;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;079;4;6;28079004_6_48;2023;08;05;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.6;V;0.5;V
28;079;4;6;28079004_6_48;2023;08;06;0.6;V;0.7;V;0.5;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V
28;079;4;6;28079004_6_48;2023;08;07;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.3;V;0.4;V;0.6;V;0.7;V
28;079;4;6;28079004_6_48;2023;08;08;0.6;V;0.5;V;0.4;V;0.5;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V
28;079;4;6;28079004_6_48;2023;08;09;0.5;V;0.5;V;0.5;V;0.5;V;0.4;V;0.3;V;0.4;V;0.4;V;0.5;V;0.4;V;0.4;V;0.3;V;4.6;N;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V
28;079;4;6;28079004_6_48;2023;08;10;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.4;V
28;079;4;6;28079004_6_48;2023;08;11;0.5;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.5;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.4;V;0.4;V;0.6;V
28;079;4;6;28079004_6_48;2023;08;12;0.6;V;0.6;V;0.5;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.4;V
28;079;4;6;28079004_6_48;2023;08;13;0.3;V;0.4;V;0.5;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V
28;079;4;6;28079004_6_48;2023;08;14;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.5;V;0.5;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V
