PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2023;01;01;1;V;3;V;3;V;2;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;2;V;1;V
28;079;4;1;28079004_1_38;2023;01;02;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;01;03;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;3;V;4;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;2;V
28;079;4;1;28079004_1_38;2023;01;04;2;V;2;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;3;V;4;V;4;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;3;V;4;V;3;V;2;V;3;V
28;079;4;1;28079004_1_38;2023;01;05;3;V;3;V;2;V;2;V;2;V;2;V;2;V;3;V;4;V;6;V;5;V;5;V;2;V;2;V;1;V;1;V;1;V;1;V;2;V;3;V;4;V;4;V;3;V;3;V
28;079;4;1;28079004_1_38;2023;01;06;3;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;3;V
28;079;4;1;28079004_1_38;2023;01;07;3;V;3;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;3;V;2;V;2;V;1;V;2;V;2;V
28;079;4;1;28079004_1_38;2023;01;08;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;01;09;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;01;10;2;V;3;V;2;V;1;V;1;V;1;V;2;V;2;V;4;V;5;V;5;V;5;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;01;11;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;38;N;554;N;2;N;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;2;V;2;V;3;V
28;079;4;1;28079004_1_38;2023;01;12;2;V;2;V;1;V;1;V;1;V;1;V;2;V;3;V;5;V;5;V;5;V;5;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;3;V
28;079;4;1;28079004_1_38;2023;01;13;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;0;V;1;V;2;V;4;V;3;V;4;V;3;V
28;079;4;1;28079004_1_38;2023;01;14;3;V;3;V;3;V;2;V;2;V;2;V;1;V;2;V;3;V;3;V;4;V;6;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;1;V
28;079;4;1;28079004_1_38;2023;01;15;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;01;16;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;01;17;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;01;18;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;01;19;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;01;20;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;01;21;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;3;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V
28;079;4;1;28079004_1_38;2023;01;22;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;3;V
28;079;4;1;28079004_1_38;2023;01;23;3;N;2;V;2;V;2;V;2;V;2;V;3;V;4;V;6;V;8;V;6;V;5;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V
28;079;4;1;28079004_1_38;2023;01;24;1;V;2;V;2;V;2;V;2;V;1;V;1;V;2;V;3;V;3;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;01;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;N;16;N;52;N;307;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;4;V;2;V
28;079;4;1;28079004_1_38;2023;01;26;2;V;2;V;2;V;1;V;1;V;1;V;2;V;4;V;5;V;7;V;7;V;4;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;4;V;4;V
28;079;4;1;28079004_1_38;2023;01;27;3;V;2;V;2;V;2;V;1;V;1;V;2;V;5;V;5;V;8;V;7;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V
28;079;4;1;28079004_1_38;2023;01;28;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;3;V;4;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V
28;079;4;1;28079004_1_38;2023;01;29;2;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;2;V;2;V;1;V
28;079;4;1;28079004_1_38;2023;01;30;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;5;V;5;V;5;V;5;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;5;V;5;V;4;V
28;079;4;1;28079004_1_38;2023;01;31;2;V;2;V;2;V;2;V;2;V;1;V;2;V;4;V;6;V;6;V;7;V;8;V;6;V;5;V;3;V;2;V;1;V;1;V;2;V;3;V;6;V;8;V;7;V;4;V
28;079;4;6;28079004_6_48;2023;01;01;0.3;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.4;V;0.6;V;0.6;V;0.5;V;0.6;V;0.3;V
28;079;4;6;28079004_6_48;2023;01;02;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V
28;079;4;6;28079004_6_48;2023;01;03;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.4;V;0.5;V;0.6;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.3;V;0.8;V;0.7;V;0.5;V;0.4;V
28;079;4;6;28079004_6_48;2023;01;04;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.3;V;0.4;V;0.5;V;0.6;V;0.5;V;0.5;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.4;V;0.7;V;0.8;V;0.6;V;0.5;V;0.4;V
28;079;4;6;28079004_6_48;2023;01;05;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.7;V;0.9;V;0.6;V;0.6;V;0.5;V;0.4;V;0.3;V;0.3;V;0.2;V;0.4;V;0.6;V;0.7;V;0.8;V;0.8;V;0.6;V;0.5;V
28;079;4;6;28079004_6_48;2023;01;06;0.5;V;0.5;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.6;V;0.4;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.4;V;0.4;V;0.5;V;0.6;V;0.6;V;0.6;V
28;079;4;6;28079004_6_48;2023;01;07;0.5;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.5;V;0.4;V;0.4;V;0.5;V;0.5;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V
28;079;4;6;28079004_6_48;2023;01;08;0.4;V;0.6;V;0.4;V;0.3;V;0.2;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;079;4;6;28079004_6_48;2023;01;09;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.5;V;0.5;V
28;079;4;6;28079004_6_48;2023;01;10;0.4;V;0.4;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.5;V;0.5;V;0.6;V;0.6;V;0.5;V;0.5;V;0.5;V;0.4;V;0.3;V;0.4;V;0.5;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V
28;079;4;6;28079004_6_48;2023;01;11;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;1.9;N;7.1;N;0.3;N;0.3;V;0.3;V;0.3;V;0.6;V;0.5;V;0.6;V;0.5;V;0.6;V;0.6;V;0.4;V;0.4;V
28;079;4;6;28079004_6_48;2023;01;12;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.6;V;0.8;V;0.7;V;0.7;V;0.7;V;0.6;V;0.6;V;0.5;V;0.5;V;0.6;V;0.7;V;0.5;V;0.5;V;0.6;V;0.4;V;0.6;V
