PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2023;02;01;3;V;3;V;3;V;3;V;2;V;2;V;2;V;5;V;6;V;4;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;6;V;5;V;3;V;2;V
28;079;4;1;28079004_1_38;2023;02;02;2;V;2;V;2;V;2;V;2;V;2;V;2;V;5;V;7;V;8;V;7;V;6;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;4;V;7;V;6;V;5;V;4;V
28;079;4;1;28079004_1_38;2023;02;03;4;V;3;V;2;V;2;V;2;V;2;V;3;V;5;V;8;V;8;V;6;V;10;V;7;V;4;V;2;V;1;V;1;V;1;V;8;V;10;V;7;V;6;V;4;V;4;V
28;079;4;1;28079004_1_38;2023;02;04;3;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;3;V;4;V;5;V;6;V;5;V;2;V;2;V;1;V;1;V;1;V;5;V;7;V;5;V;5;V;4;V;4;V
28;079;4;1;28079004_1_38;2023;02;05;3;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;4;V;6;V;5;V;4;V;2;V;3;V
28;079;4;1;28079004_1_38;2023;02;06;2;V;2;V;2;V;2;V;2;V;2;V;2;V;6;V;9;V;11;V;7;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;02;07;1;V;1;V;1;V;1;V;2;V;1;V;2;V;3;V;5;V;6;V;3;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V
28;079;4;1;28079004_1_38;2023;02;08;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;1;N;1281;N;2;V;1;V;1;V;1;V;2;V;3;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;02;09;1;V;2;V;2;V;2;V;2;V;1;V;1;V;4;V;4;V;4;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;1;V;2;V
28;079;4;1;28079004_1_38;2023;02;10;2;V;3;V;2;V;2;V;2;V;2;V;2;V;5;V;7;V;7;V;6;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V
28;079;4;1;28079004_1_38;2023;02;11;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V
28;079;4;1;28079004_1_38;2023;02;12;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;02;13;2;V;2;V;1;V;1;V;2;V;1;V;2;V;3;V;5;V;7;V;5;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
