PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2023;11;01;3;V;3;V;3;V;3;V;4;V;3;V;2;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;11;02;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;11;03;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V
28;079;4;1;28079004_1_38;2023;11;04;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;11;05;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;11;06;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;3;V;3;V;3;V;2;V;2;V;3;V;2;V;2;V;2;V;2;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;11;07;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2023;11;08;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;2;V;2;V;2;V
28;079;4;1;28079004_1_38;2023;11;09;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;2;V;3;V;3;V;2;V;2;V;2;V;2;V
28;079;4;1;28079004_1_38;2023;11;10;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;079;4;1;28079004_1_38;2023;11;11;2;V;2;V;1;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V
28;079;4;1;28079004_1_38;2023;11;12;2;V;2;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;079;4;1;28079004_1_38;2023;11;13;1;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;4;V;4;V
28;079;4;1;28079004_1_38;2023;11;14;4;V;4;V;3;V;3;V;2;V;2;V;2;V;3;V;4;V;5;V;4;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;5;V;5;V;4;V;4;V
28;079;4;1;28079004_1_38;2023;11;15;4;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;N;1;N;2;V;3;V;2;V;2;V;2;V;3;V;3;V;4;V;6;V;4;V;4;V;4;V
28;079;4;1;28079004_1_38;2023;11;16;3;V;3;V;5;N;3;N;3;N;2;V;2;V;2;V;2;V;4;V;4;V;4;V;4;V;3;V;3;V;3;V;3;V;4;V;4;V;3;V;4;V;4;V;3;V;3;V
28;079;4;1;28079004_1_38;2023;11;17;7;N;3;N;3;N;3;N;5;N;2;V;2;V;2;V;4;V;4;V;4;V;4;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;5;V;5;V;5;V;4;V
