"","FID","CODDIS","NOMDIS","COD_BAR","NOMBRE","COD_DIS_TX","BARRIO_MAY","COD_DISBAR","NUM_BAR","BARRIO_MT","COD_DISB","FID"
"1",1,1,"Centro",12,"Embajadores",1,"EMBAJADORES",12,2,"EMBAJADORES","01-feb",1
"2",2,1,"Centro",13,"Cortes",1,"CORTES",13,3,"CORTES","01-mar",2
"3",3,1,"Centro",16,"Sol",1,"SOL",16,6,"SOL","01-jun",3
"4",4,1,"Centro",11,"Palacio",1,"PALACIO",11,1,"PALACIO","01-ene",4
"5",5,1,"Centro",14,"Justicia",1,"JUSTICIA",14,4,"JUSTICIA","01-abr",5
"6",6,1,"Centro",15,"Universidad",1,"UNIVERSIDAD",15,5,"UNIVERSIDAD","01-may",6
"7",7,2,"Arganzuela",24,"Legazpi",2,"LEGAZPI",24,4,"LEGAZPI","02-abr",7
"8",8,2,"Arganzuela",23,"Chopera",2,"CHOPERA",23,3,"CHOPERA","02-mar",8
"9",9,2,"Arganzuela",25,"Delicias",2,"DELICIAS",25,5,"DELICIAS","02-may",9
"10",10,2,"Arganzuela",22,"Acacias",2,"ACACIAS",22,2,"ACACIAS","02-feb",10
"11",11,2,"Arganzuela",26,"Palos de la Frontera",2,"PALOS DE LA FRONTERA",26,6,"PALOS DE LA FRONTERA","02-jun",11
"12",12,2,"Arganzuela",27,"Atocha",2,"ATOCHA",27,7,"ATOCHA","02-jul",12
"13",13,2,"Arganzuela",21,"Imperial",2,"IMPERIAL",21,1,"IMPERIAL","02-ene",13
"14",14,3,"Retiro",32,"Adelfas",3,"ADELFAS",32,2,"ADELFAS","03-feb",14
"15",15,3,"Retiro",31,"Pací­fico",3,"PACIFICO",31,1,"PACÍFICO","03-ene",15
"16",16,3,"Retiro",36,"Niño Jesús",3,"NIÑO JESUS",36,6,"NIÑO JESUS","03-jun",16
"17",17,3,"Retiro",33,"Estrella",3,"ESTRELLA",33,3,"ESTRELLA","03-mar",17
"18",18,3,"Retiro",35,"Los Jerónimos",3,"LOS JERONIMOS",35,5,"LOS JERÓNIMOS","03-may",18
"19",19,3,"Retiro",34,"Ibiza",3,"IBIZA",34,4,"IBIZA","03-abr",19
"20",20,4,"Salamanca",42,"Goya",4,"GOYA",42,2,"GOYA","04-feb",20
"21",21,4,"Salamanca",41,"Recoletos",4,"RECOLETOS",41,1,"RECOLETOS","04-ene",21
"22",22,4,"Salamanca",43,"Fuente del Berro",4,"FUENTE DEL BERRO",43,3,"FUENTE DEL BERRO","04-mar",22
"23",23,4,"Salamanca",45,"Lista",4,"LISTA",45,5,"LISTA","04-may",23
"24",24,4,"Salamanca",46,"Castellana",4,"CASTELLANA",46,6,"CASTELLANA","04-jun",24
"25",25,4,"Salamanca",44,"Guindalera",4,"GUINDALERA",44,4,"GUINDALERA","04-abr",25
"26",26,5,"Chamartín",51,"El Viso",5,"EL VISO",51,1,"EL VISO","05-ene",26
"27",27,5,"Chamartín",53,"Ciudad Jardín",5,"CIUDAD JARDIN",53,3,"CIUDAD JARDÍN","05-mar",27
"28",28,5,"Chamartín",52,"Prosperidad",5,"PROSPERIDAD",52,2,"PROSPERIDAD","05-feb",28
"29",29,5,"Chamartín",54,"Hispanoamérica",5,"HISPANOAMERICA",54,4,"HISPANOAMÉRICA","05-abr",29
"30",30,5,"Chamartín",55,"Nueva España",5,"NUEVA ESPAÑA",55,5,"NUEVA ESPAÑA","05-may",30
"31",31,5,"Chamartín",56,"Castilla",5,"CASTILLA",56,6,"CASTILLA","05-jun",31
"32",32,6,"Tetuán",62,"Cuatro Caminos",6,"CUATRO CAMINOS",62,2,"CUATRO CAMINOS","06-feb",32
"33",33,6,"Tetuán",61,"Bellas Vistas",6,"BELLAS VISTAS",61,1,"BELLAS VISTAS","06-ene",33
"34",34,6,"Tetuán",66,"Berruguete",6,"BERRUGUETE",66,6,"BERRUGUETE","06-jun",34
"35",35,6,"Tetuán",63,"Castillejos",6,"CASTILLEJOS",63,3,"CASTILLEJOS","06-mar",35
"36",36,6,"Tetuán",65,"Valdeacederas",6,"VALDEACEDERAS",65,5,"VALDEACEDERAS","06-may",36
"37",37,6,"Tetuán",64,"Almenara",6,"ALMENARA",64,4,"ALMENARA","06-abr",37
"38",38,7,"Chamberí",74,"Almagro",7,"ALMAGRO",74,4,"ALMAGRO","07-abr",38
"39",39,7,"Chamberí",73,"Trafalgar",7,"TRAFALGAR",73,3,"TRAFALGAR","07-mar",39
"40",40,7,"Chamberí",72,"Arapiles",7,"ARAPILES",72,2,"ARAPILES","07-feb",40
"41",41,7,"Chamberí",71,"Gaztambide",7,"GAZTAMBIDE",71,1,"GAZTAMBIDE","07-ene",41
"42",42,7,"Chamberí",75,"Ríos Rosas",7,"RIOS ROSAS",75,5,"RÍOS ROSAS","07-may",42
"43",43,7,"Chamberí",76,"Vallehermoso",7,"VALLEHERMOSO",76,6,"VALLEHERMOSO","07-jun",43
"44",44,8,"Fuencarral - El Pardo",84,"Pilar",8,"PILAR",84,4,"PILAR","08-abr",44
"45",45,8,"Fuencarral - El Pardo",83,"Peñagrande",8,"PEÑAGRANDE",83,3,"PEÑAGRANDE","08-mar",45
"46",46,8,"Fuencarral - El Pardo",85,"La Paz",8,"LA PAZ",85,5,"LA PAZ","08-may",46
"47",47,8,"Fuencarral - El Pardo",82,"Fuentelarreina",8,"FUENTELARREINA",82,2,"FUENTELARREINA","08-feb",47
"48",48,8,"Fuencarral - El Pardo",87,"Mirasierra",8,"MIRASIERRA",87,7,"MIRASIERRA","08-jul",48
"49",49,8,"Fuencarral - El Pardo",86,"Valverde",8,"VALVERDE",86,6,"VALVERDE","08-jun",49
"50",50,8,"Fuencarral - El Pardo",88,"El Goloso",8,"EL GOLOSO",88,8,"EL GOLOSO","08-ago",50
"51",51,8,"Fuencarral - El Pardo",81,"El Pardo",8,"EL PARDO",81,1,"EL PARDO","08-ene",51
"52",52,9,"Moncloa - Aravaca",92,"Argüelles",9,"ARGÜELLES",92,2,"ARGÜELLES","09-feb",52
"53",53,9,"Moncloa - Aravaca",91,"Casa de Campo",9,"CASA DE CAMPO",91,1,"CASA DE CAMPO","09-ene",53
"54",54,9,"Moncloa - Aravaca",97,"Aravaca",9,"ARAVACA",97,7,"ARAVACA","09-jul",54
"55",55,9,"Moncloa - Aravaca",94,"Valdezarza",9,"VALDEZARZA",94,4,"VALDEZARZA","09-abr",55
"56",56,9,"Moncloa - Aravaca",95,"Valdemarín",9,"VALDEMARIN",95,5,"VALDEMARÍN","09-may",56
"57",57,9,"Moncloa - Aravaca",93,"Ciudad Universitaria",9,"CIUDAD UNIVERSITARIA",93,3,"CIUDAD UNIVERSITARIA","09-mar",57
"58",58,9,"Moncloa - Aravaca",96,"El Plantío",9,"EL PLANTIO",96,6,"EL PLANTÍO","09-jun",58
"59",59,10,"Latina",106,"Cuatro Vientos",10,"CUATRO VIENTOS",106,6,"CUATRO VIENTOS","10-jun",59
"60",60,10,"Latina",107,"Águilas",10,"AGUILAS",107,7,"ÁGUILAS","10-jul",60
"61",61,10,"Latina",105,"Campamento",10,"CAMPAMENTO",105,5,"CAMPAMENTO","10-may",61
"62",62,10,"Latina",104,"Aluche",10,"ALUCHE",104,4,"ALUCHE","10-abr",62
"63",63,10,"Latina",101,"Los Cármenes",10,"LOS CARMENES",101,1,"LOS CÁRMENES","10-ene",63
"64",64,10,"Latina",103,"Lucero",10,"LUCERO",103,3,"LUCERO","10-mar",64
